cell_type	comparison	n_up	n_down	n_total
AF_inner	mild_vs_severe	12	1	13
AF_outer	healthy_vs_degenerated_all	35	22	57
AF_outer	healthy_vs_degenerated_mild	2	11	13
AF_outer	healthy_vs_degenerated_severe	106	97	203
AF_outer	mild_vs_severe	82	51	133
Endothelial cells	healthy_vs_degenerated_all	26	13	39
Endothelial cells	healthy_vs_degenerated_severe	21	14	35
Endothelial cells	healthy_vs_herniated	137	277	414
NP_mature_chondrocyte	healthy_vs_degenerated_all	2	0	2
NP_mature_chondrocyte	healthy_vs_degenerated_mild	2	1	3
NP_mature_chondrocyte	healthy_vs_degenerated_severe	43	3	46
NP_mature_chondrocyte	healthy_vs_herniated	1915	2401	4316
NP_mature_chondrocyte	mild_vs_severe	19	4	23
NP_notochordal	mild_vs_severe	3	2	5
NP_stressed_degenerative	mild_vs_severe	17	3	20
Tcm/Naive helper T cells	mild_vs_severe	2	1	3
Tem/Trm cytotoxic T cells	mild_vs_severe	1	2	3
