cell_type	comparison	tf	activity	pvalue	n_targets	n_de_targets	concordant_up	concordant_down	padj
AF_inner	healthy_vs_degenerated_all	MYC	0.006385696040868455	0.04480037765186519	783	5	5	0	0.2010273356173438
AF_inner	healthy_vs_degenerated_all	SPI1	0.011857707509881422	0.025342864001262014	253	3	3	0	0.13968507717231032
AF_inner	healthy_vs_degenerated_all	SMAD3	0.0	0.052460803517473474	147	2	1	1	0.21167935515668637
AF_inner	healthy_vs_degenerated_all	SMAD4	-0.009174311926605505	0.24035701020322947	109	1	0	1	0.6185658350818406
AF_inner	healthy_vs_degenerated_all	STAT5A	0.017857142857142856	5.954940203917554e-05	168	5	4	1	0.00260528633921393
AF_inner	healthy_vs_degenerated_all	STAT5B	0.024096385542168676	0.018384277843799732	83	2	2	0	0.11388490699698949
AF_inner	healthy_vs_degenerated_all	RELA	0.022727272727272728	9.125629886375196e-08	440	10	10	0	1.6660819607896756e-05
AF_inner	healthy_vs_degenerated_all	WT1	0.015625	0.04092717856429239	128	2	2	0	0.18848042759871497
AF_inner	healthy_vs_degenerated_all	NR0B2	0.01098901098901099	0.2049700400781706	91	1	1	0	0.5353695076668635
AF_inner	healthy_vs_degenerated_all	SP1	0.005698005698005698	6.2223505156442085e-06	1053	12	9	3	0.0003629704467459122
AF_inner	healthy_vs_degenerated_all	TP53	0.0	6.358442400317988e-07	847	12	6	6	7.418182800370985e-05
AF_inner	healthy_vs_degenerated_all	ZBTB16	0.046511627906976744	0.005195417235246166	43	2	2	0	0.051954172352461664
AF_inner	healthy_vs_degenerated_all	ETV6	0.045454545454545456	0.05382703602555739	22	1	1	0	0.21167935515668637
AF_inner	healthy_vs_degenerated_all	RUNX1	0.0	0.05566919168800805	152	2	1	1	0.21499343898538814
AF_inner	healthy_vs_degenerated_all	STAT1	0.016194331983805668	0.00331285970394949	247	4	4	0	0.03680955226610544
AF_inner	healthy_vs_degenerated_all	STAT3	0.005747126436781609	0.0002113195418441909	348	6	4	2	0.006723803604133346
