cell_type	comparison	n_up	n_down	n_total
AF_inner	healthy_vs_degenerated_all	26	11	37
AF_inner	healthy_vs_degenerated_severe	33	14	47
AF_outer	healthy_vs_degenerated_all	8	4	12
AF_outer	healthy_vs_degenerated_mild	3	8	11
AF_outer	healthy_vs_degenerated_severe	49	48	97
AF_outer	mild_vs_severe	27	13	40
B_cell	mild_vs_severe	1	2	3
EP_hyaline	healthy_vs_degenerated_all	0	84	84
Macrophage	mild_vs_severe	0	5	5
NP_fibrocartilaginous	healthy_vs_degenerated_all	18	5	23
NP_fibrocartilaginous	healthy_vs_degenerated_mild	0	1	1
NP_fibrocartilaginous	healthy_vs_degenerated_severe	83	44	127
NP_fibrocartilaginous	mild_vs_severe	99	104	203
NP_mature_chondrocyte	healthy_vs_degenerated_all	2	3	5
NP_mature_chondrocyte	healthy_vs_degenerated_severe	94	78	172
NP_mature_chondrocyte	mild_vs_severe	183	132	315
T_cell	mild_vs_severe	35	13	48
unassigned	mild_vs_severe	1	0	1
