accession	first_author	year	title	journal	PMID	DOI	species	compartment	technology	n_samples	n_cells_reported	conditions	data_repository	data_available	status	exclusion_reason	notes
GSE160756	Gan Y	2021	Spatially defined single-cell transcriptional profiling characterizes diverse chondrocyte subtypes and nucleus pulposus progenitors in human intervertebral discs	Bone Research	34400611	10.1038/s41413-021-00163-z	Human	NP, AF, CEP	10x Genomics	7	108108	Healthy young and adult	GEO	Yes	included		Comprehensive 3-compartment atlas; PROCR+ NP progenitors; NEW - not in original known list
GSE165722	Tu J	2022	Single-Cell Transcriptome Profiling Reveals Multicellular Ecosystem of Nucleus Pulposus during Degeneration Progression	Advanced Science	34825784	10.1002/advs.202103631	Human	NP	BD Rhapsody	8	39732	Pfirrmann Grade II-V progressive	GEO	Yes	included		Progressive degeneration stages; BD Rhapsody platform (not 10x); NEW - not in original known list
GSE189916	Jiang W	2022	Single-cell atlas unveils cellular heterogeneity and novel markers in human neonatal and adult intervertebral discs	iScience	35754733	10.1016/j.isci.2022.104504	Human	Whole IVD	10x Genomics Chromium 3' v2	6	18000	Neonatal vs adult	GEO	Yes	included		Unique neonatal tissue; 2 notochordal cell subpopulations; novel markers FABP4, AKR1C1, APOE
GSE199866	Cherif H	2022	Single-Cell RNA-Seq Analysis of Cells from Degenerating and Non-Degenerating Intervertebral Discs from the Same Individual	Int J Mol Sci	35409356	10.3390/ijms23073993	Human	NP, inner AF	10x Genomics	4	13636	Paired degen vs non-degen from same individual	GEO	Yes	included		Unique paired design from same patient
GSE205535	Li Z	2022	Single-Cell RNA Sequencing Reveals the Difference in Human Normal and Degenerative Nucleus Pulposus Tissue Profiles	Front Cell Dev Biol	35874809	10.3389/fcell.2022.910626	Human	NP	BD Rhapsody	2	10152	Normal vs degenerative NP	GEO	Yes	included		BD Rhapsody platform; published corrections/corrigenda exist
GSE233666	Guo S	2023	Single-cell RNA-seq analysis reveals that immune cells induce human nucleus pulposus ossification and degeneration	Front Immunol	37638033	10.3389/fimmu.2023.1224627	Human	NP	10x Genomics	4	NA	IDD diagnosis - disc herniation	GEO	Yes	included		Focus on immune cell involvement in NP ossification
GSE244889	Chen F	2024	Serglycin secreted by late-stage nucleus pulposus cells is a biomarker of intervertebral disc degeneration	Nature Communications	38167807	10.1038/s41467-023-44313-9	Human	NP	10x Genomics	7	55264	Mild vs severe degeneration (Pfirrmann I-II vs III-V)	GEO	Yes	included		Fibrotic late-stage NP cells with serglycin; NEW - not in original known list
GSE251686	Jia S	2024	Single-cell sequencing reveals cellular heterogeneity of nucleus pulposus in intervertebral disc degeneration	Scientific Reports	39516278	10.1038/s41598-024-78675-x	Human	NP	10x Genomics	6	47610	Mild vs severe degeneration	GEO	Yes	included
GSE255768	Shi C	2024	Single-cell RNA sequencing reveals the differentiation and regulation of endplate cells in human intervertebral disc degeneration	Scientific Reports	39271714	10.1038/s41598-024-71891-5	Human	CEP/Endplate	10x Genomics	2	8534	Degenerative endplate (Modic changes)	GEO	Yes	included		Only degenerative endplate; no healthy endplate control
GSE230809	Swahn H	2024	Shared and Compartment-Specific Processes in Nucleus Pulposus and Annulus Fibrosus During Intervertebral Disc Degeneration	Advanced Science	38403470	10.1002/advs.202309032	Human	NP, AF (surgically separated)	10x Genomics	24	92334	Healthy (Thompson II) vs diseased (Thompson II-IV)	GEO	Yes	included		SuperSeries containing GSE229711 (healthy) and GSE230808 (diseased); largest sample size; compartment-separated
CNP0002664	Han S	2022	Single-Cell RNA Sequencing of the Nucleus Pulposus Reveals Chondrocyte Differentiation and Regulation in Intervertebral Disc Degeneration	Front Cell Dev Biol	35265617	10.3389/fcell.2022.824771	Human	NP	Singleron Matrix	6	30300	Normal, mild, severe IVDD	CNGB	Yes	included		Data in China National GeneBank; not in GEO
PRJCA014236	Wang D	2023	Single-cell transcriptomics reveals heterogeneity and intercellular crosstalk in human intervertebral disc degeneration	iScience	37216089	10.1016/j.isci.2023.106692	Human	NP, AF	10x Genomics Chromium 3' v3	14	73562	Pfirrmann I-V (2 healthy + 12 degenerated)	GSA-Human	Yes	excluded	Dropped at checkpoint — NP already well-covered; data in NGDC not downloaded	NEW - not in original known list
PRJCA007656	Ling Z	2022	Single-Cell RNA-Seq Analysis Reveals Macrophage Involved in the Progression of Human Intervertebral Disc Degeneration	Front Cell Dev Biol	35295968	10.3389/fcell.2021.833420	Human	NP	10x Genomics	3	36196	Pfirrmann II-IV	NGDC	Yes	excluded	Dropped at checkpoint — NP already well-covered; data in NGDC not downloaded	NEW - not in original known list
GSE242443	Kuchynsky K	2024	Transcriptional profiling of human cartilage endplate cells identifies novel genes and cell clusters underlying degenerated and non-degenerated phenotypes	Arthritis Res Ther	38173036	10.1186/s13075-023-03220-6	Human	CEP	10x Genomics 3' v3.1	2	17157	Non-degen vs degen CEP	GEO	Yes	included		Included at checkpoint despite culture expansion — improves sparse CEP coverage; NEW
N/A	Fernandes LM	2020	Single-cell RNA-seq identifies unique transcriptional landscapes of human nucleus pulposus and annulus fibrosus cells	Scientific Reports	32943704	10.1038/s41598-020-72261-7	Human	NP, AF	BioRad ddSEQ	3	1735	Healthy non-degenerated	N/A	No - request only	excluded	Data not publicly available (available from corresponding author on request only)	First scRNA-seq of healthy NP/AF; ~1,735 cells
